:nemesis	:info	:start-partition	:minority-third
1	:invoke	:read	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{}, "n1" #{}, "n0" #{}}]
1	:ok	:read	0
2	:invoke	:read	nil
2	:ok	:read	0
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	0
2	:invoke	:read	nil
2	:ok	:read	0
0	:invoke	:read	nil
0	:ok	:read	4
0	:invoke	:read	nil
0	:ok	:read	4
1	:invoke	:read	nil
1	:ok	:read	0
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	4
0	:invoke	:read	nil
0	:ok	:read	4
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	3
0	:invoke	:read	nil
0	:ok	:read	4
0	:invoke	:read	nil
0	:ok	:read	4
1	:invoke	:read	nil
1	:ok	:read	0
2	:invoke	:read	nil
2	:ok	:read	3
0	:invoke	:read	nil
1	:invoke	:add	2
0	:ok	:read	4
1	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	2
2	:invoke	:read	nil
2	:ok	:read	3
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	4
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	3
0	:invoke	:read	nil
0	:ok	:read	4
0	:invoke	:read	nil
0	:ok	:read	4
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	3
0	:invoke	:read	nil
0	:ok	:read	4
0	:invoke	:read	nil
0	:ok	:read	4
1	:invoke	:read	nil
1	:ok	:read	6
2	:invoke	:read	nil
2	:ok	:read	3
0	:invoke	:read	nil
0	:ok	:read	4
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
2	:invoke	:add	2
1	:ok	:read	6
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	6
0	:invoke	:read	nil
0	:ok	:read	6
1	:invoke	:read	nil
1	:ok	:read	6
2	:invoke	:read	nil
2	:ok	:read	5
0	:invoke	:read	nil
0	:ok	:read	6
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	8
1	:invoke	:read	nil
1	:ok	:read	9
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	8
0	:invoke	:read	nil
0	:ok	:read	8
1	:invoke	:read	nil
1	:ok	:read	9
2	:invoke	:read	nil
2	:ok	:read	5
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	9
2	:invoke	:read	nil
2	:ok	:read	5
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	14
1	:ok	:read	9
1	:invoke	:read	nil
1	:ok	:read	9
2	:invoke	:read	nil
2	:ok	:read	5
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	14
1	:ok	:read	9
1	:invoke	:read	nil
1	:ok	:read	9
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	14
0	:invoke	:read	nil
0	:ok	:read	14
1	:invoke	:read	nil
1	:ok	:read	9
2	:invoke	:read	nil
2	:ok	:read	9
0	:invoke	:read	nil
0	:ok	:read	14
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	9
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	18
1	:invoke	:read	nil
1	:ok	:read	11
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	3
1	:invoke	:add	4
0	:ok	:add	3
1	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	15
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	21
0	:invoke	:read	nil
0	:ok	:read	21
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	25
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	54
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	57
2	:invoke	:read	nil
2	:ok	:read	54
0	:invoke	:read	nil
0	:ok	:read	61
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	57
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	61
0	:invoke	:read	nil
0	:ok	:read	61
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	62
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:read	nil
0	:ok	:read	62
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	66
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	66
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	66
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	67
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:read	nil
0	:ok	:read	67
0	:invoke	:read	nil
0	:ok	:read	67
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	73
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:read	nil
0	:ok	:read	73
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:read	nil
0	:ok	:read	74
0	:invoke	:read	nil
0	:ok	:read	74
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	77
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	61
2	:ok	:read	58
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	61
2	:invoke	:read	nil
2	:ok	:read	58
0	:invoke	:read	nil
0	:ok	:read	85
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	4
1	:invoke	:read	nil
0	:ok	:add	4
1	:ok	:read	65
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	92
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	67
2	:invoke	:read	nil
2	:ok	:read	60
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	111
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	113
0	:invoke	:read	nil
0	:ok	:read	113
1	:invoke	:read	nil
1	:ok	:read	111
2	:invoke	:read	nil
2	:ok	:read	114
0	:invoke	:read	nil
0	:ok	:read	113
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	111
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	116
0	:invoke	:read	nil
0	:ok	:read	116
1	:invoke	:read	nil
1	:ok	:read	111
2	:invoke	:read	nil
2	:ok	:read	116
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	111
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	121
0	:invoke	:read	nil
0	:ok	:read	121
1	:invoke	:read	nil
1	:ok	:read	111
2	:invoke	:read	nil
2	:ok	:read	119
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	123
1	:ok	:read	111
2	:invoke	:read	nil
2	:ok	:read	119
0	:invoke	:read	nil
0	:ok	:read	123
0	:invoke	:read	nil
0	:ok	:read	123
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	119
0	:invoke	:read	nil
0	:ok	:read	123
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	119
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	119
0	:invoke	:read	nil
0	:ok	:read	126
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	121
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	130
0	:invoke	:read	nil
0	:ok	:read	130
1	:invoke	:read	nil
1	:ok	:read	121
2	:invoke	:read	nil
2	:ok	:read	120
0	:invoke	:read	nil
0	:ok	:read	130
0	:invoke	:read	nil
0	:ok	:read	130
1	:invoke	:read	nil
1	:ok	:read	121
2	:invoke	:read	nil
2	:ok	:read	120
0	:invoke	:read	nil
0	:ok	:read	130
0	:invoke	:read	nil
0	:ok	:read	130
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	120
0	:invoke	:read	nil
0	:ok	:read	130
0	:invoke	:read	nil
0	:ok	:read	130
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	120
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	130
1	:invoke	:read	nil
1	:ok	:read	122
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	130
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	121
0	:invoke	:read	nil
0	:ok	:read	133
0	:invoke	:read	nil
0	:ok	:read	133
1	:invoke	:read	nil
1	:ok	:read	122
2	:invoke	:read	nil
2	:ok	:read	121
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	135
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	137
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	125
2	:ok	:read	124
0	:invoke	:read	nil
0	:ok	:read	137
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	165
2	:invoke	:read	nil
2	:ok	:read	165
0	:invoke	:read	nil
0	:ok	:read	165
0	:invoke	:read	nil
0	:ok	:read	165
1	:invoke	:read	nil
1	:ok	:read	165
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	165
0	:invoke	:read	nil
0	:ok	:read	165
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	168
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	169
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	168
0	:invoke	:read	nil
0	:ok	:read	169
0	:invoke	:read	nil
0	:ok	:read	169
1	:invoke	:read	nil
1	:ok	:read	168
2	:invoke	:read	nil
2	:ok	:read	168
0	:invoke	:add	1
0	:ok	:add	1
